,publisher,publisher_categories,keywords,title,publicationYear,author(s),researcher,tot_appearances,tot_pubYrs,tot_keywords,tot_publishers
0,dryad,general,"drosophila melanogaster genome, rochester, gene duplications, y chromosome, long read assembly, gene conversion, crystal-stellate",data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018,c chang,ching-ho chang,8,4,7,6
1,dryad,general,"drosophila melanogaster genome, rochester, gene duplications, y chromosome, long read assembly, gene conversion, crystal-stellate",data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018,a larracuente,amanda m. larracuente,7,4,6,5
3,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,k stephenson,kathryn e. stephenson,1,1,1,1
4,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,m keefer,michael c. keefer,2,2,2,2
5,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,c bunce,catherine a. bunce,2,2,2,2
6,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,d frances,doreen frances,1,1,1,1
7,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,p abbink,peter abbink,1,1,1,1
8,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,l maxfield,lori f. maxfield,1,1,1,1
9,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,g neubauer,george h. neubauer,1,1,1,1
10,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,j nkolola,joseph nkolola,1,1,1,1
11,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,l peter,lauren peter,1,1,1,1
12,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,c lane,christopher lane,1,1,1,1
13,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,h park,harriet park,1,1,1,1
14,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,c verlinde,carl verlinde,1,1,1,1
15,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,a lombardo,angela lombardo,1,1,1,1
16,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,c yallop,christopher yallop,1,1,1,1
17,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,m havenga,menzo havenga,1,1,1,1
18,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,p fast,patricia fast,1,1,1,1
19,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,j treanor,john treanor,2,2,2,2
20,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,d barouch,dan h. barouch,1,1,1,1
21,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,c center,  center,2,2,2,2
22,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,s school,  school,1,1,1,1
24,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,t haselkorn,tamara s. haselkorn,3,1,2,1
