,Unnamed: 0,Rank,Data ID,DOI,Title,Description,Repository,Publication date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Sustainable Development Goals
10699,10699,100,dataset.10536969,10.17182/hepdata.64737.v1/t1,"""Table 1"" of ""Search for $s$-Channel Single-Top-Quark Production in Events with Missing Energy Plus Jets in $p\bar p$ Collisions at $\sqrt s=$1.96 TeV""","The s-channel single top quark cross section measured assuming top quarks of mass 172.5 GeV. The measurement uses a sample of events with large missing transverse energy, two or three jets of which one or more are b-tagged and no detected electron or muon candidates.",HEPData,1/1/2014,2014,,pub.1005034424,https://app.dimensions.ai/details/data_set/dataset.10536969,https://www.hepdata.net/record/64739,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10254,10254,100,dataset.10533851,10.17182/hepdata.66567.v1/t3,"""Table 3"" of ""Measurement of the W boson helicity in events with a single reconstructed top quark in pp collisions at $ \sqrt{s}=8 $ TeV""",Measurement of the W helicity fractions using the cos(theta*l) distribution in both electron and muon channels. The helicity fractions corresponding to the longitudinal (F0) and left-handed (FL) polarizations are extracted from the combined fit while FR is obtained from the constraint of FL+FR+F0 = 1. The total correlation between the fit parameters is about -0.80.,HEPData,1/1/2015,2015,,pub.1024006284,https://app.dimensions.ai/details/data_set/dataset.10533851,https://www.hepdata.net/record/66570,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
663,663,100,dataset.58080877,10.17182/hepdata.128149.v1/t64,"""Table 32b"" of ""Measurements of differential production cross sections for a Z boson in association with jets in pp collisions at $ \sqrt{s}=8 $ TeV""",Bin-to-bin correlation in the the cross section for Z($\rightarrow\ell\ell$) + jets production measured as a function of $H_\text{T}$ for events with at least four jets.,HEPData,1/1/2022,2022,,pub.1084517142,https://app.dimensions.ai/details/data_set/dataset.58080877,https://www.hepdata.net/record/128213,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10947,10947,100,dataset.10519352,10.17182/hepdata.63898.v1/t45,"""Table 45"" of ""Measurement of the Prompt $J/\psi$ and $\psi$(2S) Polarizations in $pp$ Collisions at $\sqrt{s}$ = 7 TeV""",Lambda-Theta-Phi in the HX frame for the psi(2S) as a function of pT for 1.2 < |y| < 1.5.,HEPData,1/1/2014,2014,,pub.1032532023,https://app.dimensions.ai/details/data_set/dataset.10519352,https://www.hepdata.net/record/63957,49 Mathematical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
8307,8307,100,dataset.10545221,10.17182/hepdata.78539.v1/t3,"""Table 3"" of ""Measurement of $K^{+}$ production in charged-current $\nu_{\mu}$ interactions""",The covariance for the flux uncertainty.,HEPData,1/1/2017,2017,,pub.1060713227,https://app.dimensions.ai/details/data_set/dataset.10545221,https://www.hepdata.net/record/80013,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
12981,12981,100,dataset.8403467,10.1021/om971066e.s001,"Carbon−Hydrogen and Carbon−Carbon Bond Activation
of Cyclopropane by a Hydridotris(pyrazolyl)borate
Rhodium Complex","Generation of the 16-electron fragment {[HB(3,5-dimethylpyrazolyl)3]Rh(CNCH2CMe3)}
(Tp‘RhL) in the presence of cyclopropane results in C−H activation of the hydrocarbon. The
cyclopropyl hydride complex rearranges in benzene solvent to the metallacyclobutane complex
 Thermolysis of the rhodacyclobutane complex produces
an η2-propylene complex. The related complex Tp‘Rh(CN-2,6-xylyl)(C2H4) has been structurally characterized and displays η3-Tp‘ coordination, both in the solid state and in solution.
Thermolysis of the rhodacyclobutane complex in the presence of neopentyl isocyanide leads
to insertion of isocyanide into both Rh−C bonds of the metallacycle. Cyclobutane undergoes
C−H but not C−C bond cleavage.",American Chemical Society,9/12/1998,1998,Douglas D. Wick; Todd O. Northcutt; Rene J. Lachicotte; William D. Jones,pub.1056284740,https://app.dimensions.ai/details/data_set/dataset.8403467,https://acs.figshare.com/articles/dataset/Carbon_Hydrogen_and_Carbon_Carbon_Bond_Activation_of_Cyclopropane_by_a_Hydridotris_pyrazolyl_borate_Rhodium_Complex/3781668,34 Chemical Sciences; 34 Chemical Sciences; 3402 Inorganic Chemistry,,,,,,,,
9612,9612,100,dataset.8628606,10.1371/journal.pone.0134484,A Multiplex Label-Free Approach to Avian Influenza Surveillance and Serology,"Influenza serology has traditionally relied on techniques such as hemagglutination inhibition, microneutralization, and ELISA. These assays are complex, challenging to implement in a format allowing detection of several types of antibody-analyte interactions at once (multiplex), and troublesome to implement in the field. As an alternative, we have developed a hemagglutinin microarray on the Arrayed Imaging Reflectometry (AIR) platform. AIR provides sensitive, rapid, and label-free multiplex detection of targets in complex analyte samples such as serum. In preliminary work, we demonstrated the application of this array to the testing of human samples from a vaccine trial. Here, we report the application of an expanded label-free hemagglutinin microarray to the analysis of avian serum samples. Samples from influenza virus challenge experiments in mallards yielded strong, selective detection of antibodies to the challenge antigen in most cases. Samples acquired in the field from mallards were also analyzed, and compared with viral hemagglutinin inhibition and microneutralization assays. We find that the AIR hemagglutinin microarray can provide a simple and robust alternative to standard methods, offering substantially greater information density from a simple workflow.",Public Library of Science,8/4/2015,2015,Joseph Bucukovski; Neus Latorre-Margalef; David E. Stallknecht; Benjamin L. Miller,pub.1025446138,https://app.dimensions.ai/details/data_set/dataset.8628606,https://plos.figshare.com/articles/dataset/_A_Multiplex_Label_Free_Approach_to_Avian_Influenza_Surveillance_and_Serology_/1501850,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3202 Clinical Sciences; 3207 Medical Microbiology,Biodefense; Biotechnology; Emerging Infectious Diseases; Infectious Diseases; Influenza; Pneumonia & Influenza; Prevention; Vaccine Related,Infection,,,,,,
1159,1159,100,dataset.57777284,10.17182/hepdata.95230.v1/t28,"""Table 28"" of ""Using Z boson events to study parton-medium interactions in PbPb collisions""",PbPb / pp ratio of p$^{\mathrm{trk}}_{\mathrm{T}}$ distributions for 0-30% centrality PbPb collisions at 5.02 TeV.,HEPData,1/1/2021,2021,,pub.1146519856,https://app.dimensions.ai/details/data_set/dataset.57777284,https://www.hepdata.net/record/115170,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
13080,13080,100,dataset.5272846,10.26093/cds/vizier.17051646,Debris disks in Upper Sco,,Strasbourg Astronomical Data Center,1/1/2009,2009,"Carpenter, J.M.; Mamajek, E.E.; Hillenbrand, L.A.; Meyer, M.R.",pub.1023185261,https://app.dimensions.ai/details/data_set/dataset.5272846,http://cdsarc.unistra.fr/viz-bin/cat/J/ApJ/705/1646,,,,,,,,,
1847,1847,100,dataset.57762378,10.17182/hepdata.99690.v1/t26,"""Figure 6 4-Jet bHbH"" of ""A search for bottom-type, vector-like quark pair production in a fully hadronic final state in proton-proton collisions at $\sqrt{s} =$ 13 TeV""","Dependence of the BJTF on $\chi^{2}$/ndf in the low-mass VLQ region, for 4-jet (left column), 5-jet, (center column) and 6-jet (right column) multiplicities and for the bHbH (upper row), bHbZ (middle row), and bZbZ (lower row) event modes. The data is shown in black points, and the linear fit and its uncertainty are shown as the red line and the pale red band.",HEPData,1/1/2021,2021,,pub.1133315744,https://app.dimensions.ai/details/data_set/dataset.57762378,https://www.hepdata.net/record/100357,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
