,publisher,publisher_categories,keywords,title,publicationYear,author(s),tot_appearances,tot_pubYrs,tot_keywords,tot_publishers
0,dryad,general,"drosophila melanogaster genome, rochester, gene duplications, y chromosome, long read assembly, gene conversion, crystal-stellate",data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018,ching-ho chang,3,2,3,3
1,dryad,general,"drosophila melanogaster genome, rochester, gene duplications, y chromosome, long read assembly, gene conversion, crystal-stellate",data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018,amanda m. larracuente,1,1,1,1
3,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,kathryn e. stephenson,1,1,1,1
4,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,michael c. keefer,1,1,1,1
5,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,catherine a. bunce,1,1,1,1
6,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,doreen frances,1,1,1,1
7,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,peter abbink,1,1,1,1
8,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,lori f. maxfield,1,1,1,1
9,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,george h. neubauer,1,1,1,1
10,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,joseph nkolola,1,1,1,1
11,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,lauren peter,1,1,1,1
12,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,christopher lane,1,1,1,1
13,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,harriet park,1,1,1,1
14,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,carl verlinde,1,1,1,1
15,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,angela lombardo,1,1,1,1
16,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,christopher yallop,1,1,1,1
17,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,menzo havenga,1,1,1,1
18,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,patricia fast,1,1,1,1
19,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,john treanor,1,1,1,1
20,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,dan h. barouch,1,1,1,1
21,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,  center,2,2,2,2
22,dryad,general,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,  school,1,1,1,1
24,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,tamara s. haselkorn,1,1,1,1
25,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,sarah n. cockburn,1,1,1,1
26,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,phineas t. hamilton,1,1,1,1
27,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,steve. J perlman,1,1,1,1
28,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,john jaenike,2,2,2,2
29,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,  victoria,1,1,1,1
30,dryad,general,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,richard waugh,1,1,1,1
31,dryad,general,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,zhangli peng,1,1,1,1
33,dryad,general,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,chicago university of illinois,1,1,1,1
34,dryad,general,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,  https://orcid.org/0000-0003-2084-5740,1,1,1,1
35,university of rochester,general,"information and computing sciences, education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 46, 39",subscribe to open on the open business model continuum,2023,moriana molchanov garcia,1,1,1,1
36,university of rochester,general,"information and computing sciences, education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 46, 39",subscribe to open on the open business model continuum,2023,raym crow,1,1,1,1
37,university of rochester,general,"information and computing sciences, education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 46, 39",subscribe to open on the open business model continuum,2023,  https://orcid.org/0000-0003-0803-0901,1,1,1,1
38,university of rochester,general,"library and information studies, accessible computing, education, information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, anzsrc fields of research, anzsrc fields of research, 4610, 460801, 39, 46","""making rcls libguides more accessible""",2023,pauline schwartzman,1,1,1,1
39,university of rochester,general,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","“co-mentoring: a block approach,” library leadership and management journal, v.29, no.2, p. 1-9. february 2015. doi: https://doi.org/10.5860/llm.v29i2.7122",2023,kristen totleben,1,1,1,1
40,university of rochester,general,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","“co-mentoring: a block approach,” library leadership and management journal, v.29, no.2, p. 1-9. february 2015. doi: https://doi.org/10.5860/llm.v29i2.7122",2023,kathryn deiss,1,1,1,1
41,university of rochester,general,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","“co-mentoring: a block approach,” library leadership and management journal, v.29, no.2, p. 1-9. february 2015. doi: https://doi.org/10.5860/llm.v29i2.7122",2023,  https://orcid.org/0000-0002-2274-5279,1,1,1,1
42,university of rochester,general,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,kimberly davies hoffman,1,1,1,1
43,university of rochester,general,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,  garcia,1,1,1,1
44,university of rochester,general,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,easterly joe moriana,1,1,1,1
45,university of rochester,general,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,  adrienne,1,1,1,1
46,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","kristen totleben and jessica lacher- feldman. “creating a holistic fabric of services and collections from the inside out: exploring convergences of liaison and special collections librarianship.” <em>research library issues</em>, no. 291 (2017): 32–49. https://doi.org/10.29242/rli.291.4.",2023,jessica lacher-feldman,1,1,1,1
