,publisher,publisher_categories,author(s),title,publicationYear,keywords,tot_appearances,tot_pubYrs,tot_authors,tot_publishers
0,dryad,general,ching-ho chang;amanda m. larracuente;  rochester,data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018,drosophila melanogaster genome,1,1,1,1
2,dryad,general,ching-ho chang;amanda m. larracuente;  rochester,data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018, gene duplications,1,1,1,1
3,dryad,general,ching-ho chang;amanda m. larracuente;  rochester,data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018, y chromosome,1,1,1,1
4,dryad,general,ching-ho chang;amanda m. larracuente;  rochester,data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018, long read assembly,1,1,1,1
5,dryad,general,ching-ho chang;amanda m. larracuente;  rochester,data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018, gene conversion,1,1,1,1
6,dryad,general,ching-ho chang;amanda m. larracuente;  rochester,data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018, crystal-stellate,1,1,1,1
7,dryad,general,kathryn e. stephenson;michael c. keefer;catherine a. bunce;doreen frances;peter abbink;lori f. maxfield;george h. neubauer;joseph nkolola;lauren peter;christopher lane;harriet park;carl verlinde;angela lombardo;christopher yallop;menzo havenga;patricia fast;john treanor;dan h. barouch;  center;  school;  center,"data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,clinical trial,1,1,1,1
8,dryad,general,kathryn e. stephenson;michael c. keefer;catherine a. bunce;doreen frances;peter abbink;lori f. maxfield;george h. neubauer;joseph nkolola;lauren peter;christopher lane;harriet park;carl verlinde;angela lombardo;christopher yallop;menzo havenga;patricia fast;john treanor;dan h. barouch;  center;  school;  center,"data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018, vaccine,1,1,1,1
9,dryad,general,kathryn e. stephenson;michael c. keefer;catherine a. bunce;doreen frances;peter abbink;lori f. maxfield;george h. neubauer;joseph nkolola;lauren peter;christopher lane;harriet park;carl verlinde;angela lombardo;christopher yallop;menzo havenga;patricia fast;john treanor;dan h. barouch;  center;  school;  center,"data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018, phase 1,1,1,1,1
11,dryad,general,kathryn e. stephenson;michael c. keefer;catherine a. bunce;doreen frances;peter abbink;lori f. maxfield;george h. neubauer;joseph nkolola;lauren peter;christopher lane;harriet park;carl verlinde;angela lombardo;christopher yallop;menzo havenga;patricia fast;john treanor;dan h. barouch;  center;  school;  center,"data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018, immune responses,1,1,1,1
12,dryad,general,tamara s. haselkorn;sarah n. cockburn;phineas t. hamilton;steve. J perlman;john jaenike;  victoria,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,symbiosis,3,1,3,1
14,university of rochester,general,moriana molchanov garcia;raym crow;  https://orcid.org/0000-0003-0803-0901,subscribe to open on the open business model continuum,2023,information and computing sciences,4,1,4,1
15,university of rochester,general,moriana molchanov garcia;raym crow;  https://orcid.org/0000-0003-0803-0901,subscribe to open on the open business model continuum,2023, education,3,2,3,2
20,university of rochester,general,moriana molchanov garcia;raym crow;  https://orcid.org/0000-0003-0803-0901,subscribe to open on the open business model continuum,2023, 46,5,1,5,1
21,university of rochester,general,moriana molchanov garcia;raym crow;  https://orcid.org/0000-0003-0803-0901,subscribe to open on the open business model continuum,2023, 39,4,1,4,1
22,university of rochester,general,pauline schwartzman,"""making rcls libguides more accessible""",2023,library and information studies,3,1,3,1
23,university of rochester,general,pauline schwartzman,"""making rcls libguides more accessible""",2023, accessible computing,1,1,1,1
24,university of rochester,general,pauline schwartzman,"""making rcls libguides more accessible""",2023, education,3,2,3,2
25,university of rochester,general,pauline schwartzman,"""making rcls libguides more accessible""",2023, information and computing sciences,3,1,3,1
36,university of rochester,general,pauline schwartzman,"""making rcls libguides more accessible""",2023, 39,4,1,4,1
37,university of rochester,general,pauline schwartzman,"""making rcls libguides more accessible""",2023, 46,5,1,5,1
38,university of rochester,general,kristen totleben;kathryn deiss;  https://orcid.org/0000-0002-2274-5279,"“co-mentoring: a block approach,” library leadership and management journal, v.29, no.2, p. 1-9. february 2015. doi: https://doi.org/10.5860/llm.v29i2.7122",2023,library and information studies,3,1,3,1
42,university of rochester,general,kimberly davies hoffman;  garcia;easterly joe moriana;  adrienne,"“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,education,4,2,4,2
45,university of rochester,general,kimberly davies hoffman;  garcia;easterly joe moriana;  adrienne,"“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023, 39,4,1,4,1
