author(s),publisher,keywords,title,publicationYear,publisher_categories
ching-ho chang;amanda m. larracuente;  rochester,dryad,"drosophila melanogaster genome, rochester, gene duplications, y chromosome, long read assembly, gene conversion, crystal-stellate",data from: heterochromatin-enriched assemblies reveal the sequence and organization of the drosophila melanogaster y chromosome,2018,general
kathryn e. stephenson;michael c. keefer;catherine a. bunce;doreen frances;peter abbink;lori f. maxfield;george h. neubauer;joseph nkolola;lauren peter;christopher lane;harriet park;carl verlinde;angela lombardo;christopher yallop;menzo havenga;patricia fast;john treanor;dan h. barouch;  center;  school;  center,dryad,"clinical trial, vaccine, phase 1, adenoviridae, immune responses","data from: first-in-human randomized controlled trial of an oral, replicating adenovirus 26 vector vaccine for hiv-1",2018,general
tamara s. haselkorn;sarah n. cockburn;phineas t. hamilton;steve. J perlman;john jaenike;  victoria,dryad,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,general
richard waugh;zhangli peng;  rochester;chicago university of illinois;  https://orcid.org/0000-0003-2084-5740,dryad,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,general
moriana molchanov garcia;raym crow;  https://orcid.org/0000-0003-0803-0901,university of rochester,"information and computing sciences, education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 46, 39",subscribe to open on the open business model continuum,2023,general
pauline schwartzman,university of rochester,"library and information studies, accessible computing, education, information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, anzsrc fields of research, anzsrc fields of research, 4610, 460801, 39, 46","""making rcls libguides more accessible""",2023,general
kristen totleben;kathryn deiss;  https://orcid.org/0000-0002-2274-5279,university of rochester,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","“co-mentoring: a block approach,” library leadership and management journal, v.29, no.2, p. 1-9. february 2015. doi: https://doi.org/10.5860/llm.v29i2.7122",2023,general
kimberly davies hoffman;  garcia;easterly joe moriana;  adrienne,university of rochester,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,general
jessica lacher-feldman,university of rochester,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","kristen totleben and jessica lacher- feldman. “creating a holistic fabric of services and collections from the inside out: exploring convergences of liaison and special collections librarianship.” <em>research library issues</em>, no. 291 (2017): 32–49. https://doi.org/10.29242/rli.291.4.",2023,general
lori birrell,university of rochester,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","collaborating for impact: special collections and liaison librarian partnerships. chicago: association of college and research libraries, a division of the american library association, 2016.",2023,general
ryan prendergast,university of rochester,"creative arts and writing, language, communication and culture, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 36, 47","\\, <i> rbm: journal of rare books, manuscripts, and cultural heritage. </i>vol. 19, issue 2, 2018, pp. 133-153. doi: https://doi.org/10.5860/rbm.19.2.133",2023,general
simon szreter;kevin schürer,university of rochester,0,revealing the hidden affliction: how much infertility was due to venereal disease in england and wales on the eve of the great war?,2019,general
rebecca flemming;  https://orcid.org/0000-0002-7234-0085,university of rochester,0,(the wrong kind of ) gonorrhea in antiquity,2019,general
susan cardinal;jeff jones;lara nicosia;sarada george;  https://orcid.org/0000-0003-3281-890x,university of rochester,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,general
